quoRef,contractStartDate,firstInstallmentDate,assetPrice,loanAmount,term,rate,irr,installmentAmount
GLF-00000490,30082013,6092013,1850,1292.4,36,1.95,3.21,61.1
GLF-00000480,25072013,4092013,1310,786,24,1.95,3.33,48.08
GLF-00000475,24072013,24082013,1850,1292,36,1.95,3.21,61.1
GLF-00000477,24072013,20082013,2380,1688.4,36,1.95,3.21,79.82
GLF-00000468,23072013,1092013,1310,932.4,36,1.95,3.21,44.08
GLF-00000459,19072013,15082013,1850,1292.4,36,1.95,3.21,61.1
GLF-00000456,17072013,17082013,1850,1292.4,36,1.95,3.21,61.1
GLF-KDL-00000023,19062013,24072013,1850,1295,36,1.95,3.21,61.22
GLF-00000343,30052013,20062013,1850,925,12,1.95,3.39,95.12
GLF-00000340,30052013,15062013,1850,1295,24,1.95,3.33,79.21
GLF-00000339,29052013,1062013,1850,1295,36,1.95,3.21,61.22
GLF-00000312,9052013,10062013,1880,1316,12,1.95,3.39,135.33
GLF-00000308,6052013,13062013,1880,1316,24,1.95,3.33,80.5
GLF-00000298,2052013,10062013,1880,1316,24,1.95,3.33,80.5
GLF-00000291,30042013,25052013,1880,1316,24,1.95,3.33,80.5
GLF-00000288,30042013,24052013,1880,1316,24,1.95,3.33,80.5
GLF-00000281,27042013,11042013,2300,1610,12,1.95,3.33,165.56
GLF-00000279,27042013,1062013,2330,1631,12,1.95,3.39,167.72
GLF-00000270,24042013,24052013,1920,1344,24,1.95,3.33,82.21
GLF-KDL-00000015,23042013,22052013,1920,1344,24,1.95,3.33,82.21
GLF-00000260,22042013,25052013,1280,896,12,1.95,3.39,92.14
GLF-00000261,22042013,20052013,1920,1344,36,1.95,3.21,63.54
GLF-00000249,11042013,11052013,2100,1470,24,1.95,3.33,89.92
GLF-00000223,8042013,4052013,1950,1365,12,1.95,3.39,140.37
GLF-00000224,8042013,2052013,1950,1365,24,1.95,3.33,83.49
GLF-00000220,6042013,25042013,1850,1480,24,1.5,2.62,83.87
GLF-00000215,5042013,6052013,1950,1365,24,1.95,3.33,83.49
GLF-00000193,26032013,25042013,1280,896,12,1.95,3.39,92.14
GLF-00000172,15032013,10042013,1280,896,24,1.95,3.33,54.81
GLF-00000170,14032013,21042013,1980,1386,36,2.3,3.71,70.38
GLF-00000164,12032013,15042013,1980,1386,24,1.95,3.33,84.78
GLF-00000161,5032013,6042013,2180,1526,24,2.4,4.01,100.21
GLF-00000156,21022013,1032013,1960,1372,36,2.3,3.71,69.67
GLF-00000133,21012013,8022013,2180,1526,12,2.5,4.29,165.32
GLF-00000134,21012013,21022013,1850,1295,12,2.5,4.29,140.29
GLF-00000016,16072012,16082012,1800,1260,24,2.4,4.01,82.74
GLF-00000017,16072012,15082013,1800,1260,12,2.5,4.29,136.5
GLF-00000002,18052012,16062012,2000,1400,12,2.5,4.29,151.67
GLF-00000496,17082013,5092013,1850,925,12,1.95,3.39,95.12
GLF-00000357,8062013,13072013,1850,1110,36,1.95,3.21,52.48
GLF-00000343,30052013,20062013,1850,925,12,1.95,3.39,95.12
GLF-00000308,6052013,13062013,1880,1316,24,1.95,3.33,80.5
GLF-00000298,2052013,10062013,1880,1316,24,1.95,3.33,80.5
GLF-00000291,30042013,25042013,1880,1316,24,1.95,3.33,80.5
GLF-00000288,30042013,24042013,1880,1316,24,1.95,3.33,80.5
GLF-00000281,27042013,11042013,2300,1610,12,1.95,3.39,165.56
GLF-00000270,24042013,24042013,1920,1344,24,1.95,3.33,82.21
GLF-KDL-00000015,23042013,22042013,1920,1344,24,1.95,3.33,82.21
GLF-00000260,22042013,25042013,1280,896,12,1.95,3.39,92.14
GLF-00000245,11042013,12042013,1120,7840,36,1.95,3.21,37.07
GLF-00000134,24012013,8022013,2180,1526,12,2.5,4.29,165.32
GLF-00000133,21012013,21022013,1850,1295,12,2.5,4.29,140.29
GLF-00000091,27112012,24122012,1500,1050,12,2.5,4.29,113.75
